yearID,bbrefID,Player,Team,WAR
2024,gilbelo01,Logan Gilbert,SEA,3.0
2024,lugose01,Seth Lugo,KCR,5.0
2024,webblo01,Logan Webb,SFG,3.8
2024,wheelza01,Zack Wheeler,PHI,6.5
2024,nolaaa01,Aaron Nola,PHI,4.0
2024,burneco01,Corbin Burnes,BAL,3.9
2024,berrijo01,José Berríos,TOR,2.5
2024,skubata01,Tarik Skubal,DET,6.7
2024,kirbyge01,George Kirby,SEA,2.1
2024,ceasedy01,Dylan Cease,SDP,4.0
2024,irvinja01,Jake Irvin,WSN,1.9
2024,raganco01,Cole Ragans,KCR,4.7
2024,lopezpa01,Pablo López,MIN,2.6
2024,crawfku01,Kutter Crawford,BOS,1.5
2024,severlu01,Luis Severino,NYM,1.7
2024,manaese01,Sean Manaea,NYM,2.9
2024,pfaadbr01,Brandon Pfaadt,ARI,0.4
2024,sanchcr01,Cristopher Sánchez,PHI,3.8
2024,gausmke01,Kevin Gausman,TOR,1.1
2024,searsjp01,JP Sears,OAK,2.3
2024,millebr04,Bryce Miller,SEA,3.5
2024,singebr01,Brady Singer,KCR,2.9
2024,anderty01,Tyler Anderson,LAA,2.9
2024,houckta01,Tanner Houck,BOS,3.2
2024,oberba01,Bailey Ober,MIN,3.0
2024,kellemi03,Mitch Keller,PIT,2.0
2024,salech01,Chris Sale,ATL,6.2
2024,feddeer01,Erick Fedde,2TM,5.6
2024,feddeer01,Erick Fedde,CHW,4.6
2024,feddeer01,Erick Fedde,STL,1.0
2024,valdefr01,Framber Valdez,HOU,4.6
2024,kikucyu01,Yusei Kikuchi,2TM,1.6
2024,kikucyu01,Yusei Kikuchi,TOR,0.2
2024,kikucyu01,Yusei Kikuchi,HOU,1.4
2024,castilu02,Luis Castillo,SEA,1.9
2024,rodonca01,Carlos Rodón,NYY,1.9
2024,corbipa01,Patrick Corbin,WSN,-0.8
2024,cortene01,Nestor Cortes,NYY,2.4
2024,friedma01,Max Fried,ATL,3.5
2024,bibeeta01,Tanner Bibee,CLE,2.6
2024,kingmi01,Michael King,SDP,4.1
2024,peralfr01,Freddy Peralta,MIL,2.4
2024,imanash01,Shota Imanaga,CHC,3.0
2024,cannigr01,Griffin Canning,LAA,0.2
2024,mikolmi01,Miles Mikolas,STL,-0.5
2024,bassich01,Chris Bassitt,TOR,0.1
2024,eovalna01,Nathan Eovaldi,TEX,1.8
2024,quintjo01,Jose Quintana,NYM,2.5
