playerID,awardID,yearID,lgID,tie,notes
aaronha01,Gold Glove,1958,NL,,RF
aaronha01,Gold Glove,1959,NL,,RF
aaronha01,Gold Glove,1960,NL,,RF
aaronha01,Most Valuable Player,1957,NL,,
abreubo01,Gold Glove,2005,NL,,OF
abreubo01,Silver Slugger,2004,NL,,OF
abreujo02,Most Valuable Player,2020,AL,,
abreujo02,Silver Slugger,2014,AL,,1B
abreujo02,Silver Slugger,2018,AL,,1B
abreujo02,Silver Slugger,2020,AL,,1B
abreuwi02,Gold Glove,2024,AL,,RF
abreuwi02,Gold Glove,2025,AL,,RF
acunaro01,Most Valuable Player,2023,NL,,
acunaro01,Silver Slugger,2019,NL,,OF
acunaro01,Silver Slugger,2020,NL,,OF
acunaro01,Silver Slugger,2023,NL,,OF
ageeto01,Gold Glove,1966,AL,,OF
ageeto01,Gold Glove,1970,NL,,OF
ahmedni01,Gold Glove,2018,NL,,SS
ahmedni01,Gold Glove,2019,NL,,SS
albieoz01,Silver Slugger,2019,NL,,2B
albieoz01,Silver Slugger,2021,NL,,2B
alcansa01,Cy Young Award,2022,NL,,
alfoned01,Silver Slugger,1999,NL,,2B
allendi01,Most Valuable Player,1972,AL,,
alleyge01,Gold Glove,1966,NL,,SS
alleyge01,Gold Glove,1967,NL,,SS
alomaro01,ALCS MVP,1992,AL,,
alomaro01,Gold Glove,1991,AL,,2B
alomaro01,Gold Glove,1992,AL,,2B
alomaro01,Gold Glove,1993,AL,,2B
alomaro01,Gold Glove,1994,AL,,2B
alomaro01,Gold Glove,1995,AL,,2B
alomaro01,Gold Glove,1996,AL,,2B
alomaro01,Gold Glove,1998,AL,,2B
alomaro01,Gold Glove,1999,AL,,2B
alomaro01,Gold Glove,2000,AL,,2B
alomaro01,Gold Glove,2001,AL,,2B
alomaro01,Silver Slugger,1992,AL,,2B
alomaro01,Silver Slugger,1996,AL,,2B
alomaro01,Silver Slugger,1999,AL,,2B
alomaro01,Silver Slugger,2000,AL,,2B
alomasa02,Gold Glove,1990,AL,,C
alonspe01,Silver Slugger,2025,NL,,1B
aloumo01,Silver Slugger,1994,NL,,OF
aloumo01,Silver Slugger,1998,NL,,OF
altuvjo01,ALCS MVP,2019,AL,,
altuvjo01,Gold Glove,2015,AL,,2B
altuvjo01,Most Valuable Player,2017,AL,,
altuvjo01,Silver Slugger,2014,AL,,2B
altuvjo01,Silver Slugger,2015,AL,,2B
altuvjo01,Silver Slugger,2016,AL,,2B
altuvjo01,Silver Slugger,2017,AL,,2B
altuvjo01,Silver Slugger,2018,AL,,2B
